open,high,close,volum,yesterday close,today close,tomorrow close,go up,go down
0.258124088,0.258621171,0.26035252,0.05616076,0.259717316,0.262589224,0.26418891,0,1
0.262589224,0.256924524,0.257295416,0.054189174,0.26418891,0.252143968,0.253728548,0,1
0.252143968,0.247853615,0.250181399,0.055759306,0.253728548,0.24811737,0.249696126,1,0
0.24811737,0.24565828,0.250048652,0.040896581,0.249696126,0.250053155,0.251634711,0,1
0.250053155,0.244340133,0.242815175,0.043626469,0.251634711,0.237813841,0.239377697,1,0
0.237813841,0.236685326,0.241160546,0.042323974,0.239377697,0.241096278,0.242664881,1,0
0.241096278,0.248828867,0.246159805,0.05074559,0.242664881,0.254602484,0.256190619,0,1
0.254602484,0.248824409,0.247195096,0.039656534,0.256190619,0.244011013,0.245583831,1,0
0.244011013,0.247991686,0.249230195,0.036289671,0.245583831,0.249211497,0.250791836,0,1
0.249211497,0.246718114,0.245155568,0.043546178,0.250791836,0.241308895,0.242877806,1,0
0.241308895,0.242184861,0.245058196,0.044197426,0.242877806,0.247178272,0.24875567,1,0
0.247178272,0.246094673,0.250070795,0.040414836,0.24875567,0.248037611,0.249616253,1,0
0.248037611,0.256920067,0.253251734,0.042065259,0.249616253,0.262620263,0.264219993,0,1
0.262620263,0.26055379,0.263931644,0.047649932,0.264219993,0.262195027,0.263794143,0,1
0.262195027,0.262094536,0.258879243,0.047730223,0.263794143,0.254323409,0.255911141,0,1
0.254323409,0.248543863,0.246965032,0.044027923,0.255911141,0.25060687,0.252189227,0,1
0.25060687,0.245569186,0.247509193,0.047962174,0.252189227,0.24764336,0.249221431,0,1
0.24764336,0.241993355,0.24558027,0.04037023,0.249221431,0.246682145,0.248258827,0,1
0.246682145,0.246272807,0.245575841,0.045196601,0.248258827,0.241960051,0.243529903,1,0
0.241960051,0.238845056,0.242992151,0.045027098,0.243529903,0.242934567,0.244505829,1,0
0.242934567,0.246018951,0.248155102,0.046739969,0.244505829,0.251324482,0.252907876,1,0
0.251324482,0.2584831,0.256534475,0.052449539,0.252907876,0.26409534,0.265697203,1,0
0.26409534,0.261604709,0.267568284,0.041717332,0.265697203,0.267311319,0.268917834,0,1
0.267311319,0.26650309,0.269130022,0.049666124,0.268917834,0.266031124,0.267635787,1,0
0.266031124,0.263510638,0.269152165,0.053074024,0.267635787,0.269131927,0.270741074,1,0
0.269131927,0.272154069,0.274319544,0.058685461,0.270741074,0.27393378,0.275549872,0,1
0.27393378,0.271258997,0.275350406,0.05163771,0.275549872,0.272564958,0.274179071,1,0
0.272564958,0.272617152,0.276173292,0.042841403,0.274179071,0.278177431,0.27979966,0,1
0.278177431,0.274238077,0.281154892,0.045044941,0.27979966,0.277787613,0.279409279,0,1
0.277787613,0.272207504,0.276881146,0.045080625,0.279409279,0.273995748,0.27561193,1,0
0.273995748,0.277137032,0.277819064,0.052101613,0.27561193,0.282292656,0.283920837,0,1
0.282292656,0.279897916,0.279663955,0.05956866,0.283920837,0.274646958,0.276264082,0,1
0.274646958,0.271000684,0.277602285,0.036685773,0.276264082,0.27363697,0.275252632,0,1
0.27363697,0.267959254,0.261321383,0.050344135,0.275252632,0.258190545,0.259783869,1,0
0.258190545,0.255495105,0.260865737,0.045937061,0.259783869,0.261047691,0.262645148,1,0
0.261047691,0.264833187,0.266245467,0.047926489,0.262645148,0.270527299,0.272138464,0,1
0.270527299,0.264833187,0.270076798,0.041057163,0.272138464,0.267342357,0.268948917,1,0
