Open,High,Low,Volume,Adj Close,,Open,High,Low,Volume,Adj Close,,Open,High,Low,Volume,Adj Close
1243.26001,1253.27002,1234.910034,785500000,1252,,,10.01001,-8.349976,,8.73999,,0.249826139,0.106285942,-0.079942326,0.048042465,0.576431442
1252,1274.069946,1251.540039,905700000,1256.619995,,,22.069946,-0.459961,,4.619995,,0.253697691,0.234337927,-0.004403648,0.058765751,0.555368073
1256.619995,1256.939941,1232.189941,871800000,1235.160034,,,0.319946,-24.430054,,-21.459961,,0.255744209,0.003397176,-0.233892331,0.055741464,0.422034964
1235.160034,1236.410034,1217.969971,785900000,1225.189941,,,1.25,-17.190063,,-9.970093,,0.246238094,0.013272457,-0.164576955,0.04807815,0.480776621
1225.189941,1233.97998,1219.459961,723900000,1233.97998,,,8.790039,-5.72998,,8.790039,,0.241821643,0.093332332,-0.054858593,0.042547004,0.576687316
1233.97998,1253.25,1233.97998,896400000,1252.310059,,,19.27002,0,,18.330079,,0.245715365,0.204608409,0,0.05793608,0.625460527
1252.310059,1262.609985,1242.819946,893800000,1243.170044,,,10.299926,-9.490113,,-9.140015,,0.253835038,0.10936426,-0.090857951,0.057704128,0.485020373
1243.170044,1266.400024,1243.170044,848800000,1265.369995,,,23.22998,0,,22.199951,,0.249786287,0.246655128,0,0.053689587,0.645245148
1265.369995,1280.369995,1255.180054,917000000,1279.640015,,,15,-10.189941,,14.27002,,0.259620195,0.159269484,-0.097558076,0.059773847,0.604703579
1279.640015,1283.75,1271.310059,799400000,1273,,,4.109985,-8.329956,,-6.640015,,0.265941384,0.043639679,-0.079750656,0.049282512,0.497801559
1273,1273.48999,1247.560059,845500000,1261.98999,,,0.48999,-25.439941,,-11.01001,,0.263000058,0.005202697,-0.243560948,0.053395187,0.475460072
1261.98999,1276.040039,1255.27002,876500000,1272.069946,,,14.050049,-6.71997,,10.079956,,0.258122955,0.149182937,-0.064336716,0.05616076,0.583281984
1272.069946,1272.22998,1248.359985,854400000,1248.48999,,,0.160034,-23.709961,,-23.579956,,0.262588072,0.001699236,-0.226998191,0.054189174,0.411196544
1248.48999,1251.859985,1232.280029,872000000,1239.400024,,,3.369995,-16.209961,,-9.089966,,0.252142862,0.035782491,-0.155193499,0.055759306,0.485276247
1239.400024,1246.930054,1231.97998,705400000,1243.77002,,,7.53003,-7.420044,,4.369996,,0.248116281,0.079953599,-0.071039196,0.040896581,0.554089959
1243.77002,1243.969971,1215.630005,736000000,1216.140015,,,0.199951,-28.140015,,-27.630005,,0.250052058,0.002123073,-0.269411345,0.043626469,0.390490772
1216.140015,1226.780029,1211.890015,721400000,1223.550049,,,10.640014,-4.25,,7.410034,,0.237812799,0.112975303,-0.040689325,0.042323974,0.569632076
1223.550049,1254.050049,1223.189941,815800000,1254.040039,,,30.5,-0.360108,,30.48999,,0.24109522,0.323847951,-0.003447659,0.05074559,0.687627761
1254.040039,1254.040039,1225.530029,691500000,1230.130005,,,0,-28.51001,,-23.910034,,0.254601367,0,-0.272953662,0.039656534,0.409509029
1230.130005,1252.170044,1230.130005,653760000,1241.869995,,,22.040039,0,,11.73999,,0.244009942,0.234020376,0,0.036289671,0.591768865
1241.869995,1249.310059,1220.920044,735100000,1224.030029,,,7.440064,-20.949951,,-17.839966,,0.249210404,0.078998344,-0.200573968,0.043546178,0.440542096
1224.030029,1239.130005,1220.699951,742400000,1237.280029,,,15.099976,-3.330078,,13.25,,0.241307837,0.160331026,-0.03188203,0.044197426,0.599488753
1237.280029,1247.910034,1232.030029,700000000,1239.219971,,,10.630005,-5.25,,1.939942,,0.247177187,0.112869027,-0.050263284,0.040414836,0.54166637
1239.219971,1272.219971,1239.219971,718500000,1272.140015,,,33,0,,32.920044,,0.248036523,0.350392865,0,0.042065259,0.70005135
1272.140015,1280.380005,1263.359985,781100000,1271.180054,,,8.23999,-8.78003,,-0.959961,,0.26261911,0.08749193,-0.084059646,0.047649932,0.52684069
1271.180054,1283.839966,1251.939941,782000000,1253.410034,,,12.659912,-19.240113,,-17.77002,,0.262193876,0.13442251,-0.18420405,0.047730223,0.440899693
1253.410034,1253.410034,1225.01001,740500000,1245.02002,,,0,-28.400024,,-8.390014,,0.254322293,0,-0.271900661,0.044027923,0.488854734
1245.02002,1246.72998,1226.23999,784600000,1238.329956,,,1.70996,-18.78003,,-6.690064,,0.25060577,0.018156296,-0.179799234,0.047962174,0.497545685
1238.329956,1238.699951,1221.880005,699500000,1236.160034,,,0.369995,-16.449951,,-2.169922,,0.247642273,0.003928594,-0.157491154,0.04037023,0.520654796
1236.160034,1248.310059,1221.869995,753600000,1225.5,,,12.150025,-14.290039,,-10.660034,,0.246681063,0.129008547,-0.136812245,0.045196601,0.477249315
1225.5,1231.630005,1216.030029,751700000,1227.699951,,,6.130005,-9.469971,,2.199951,,0.24195899,0.065088182,-0.090665112,0.045027098,0.54299566
1227.699951,1247.73999,1227.699951,770900000,1246.640015,,,20.040039,0,,18.940064,,0.242933502,0.212784445,0,0.046739969,0.628579059
1246.640015,1275.72998,1246.640015,834900000,1275.469971,,,29.089965,0,,28.829956,,0.251323379,0.308876248,0,0.052449539,0.679140879
1275.469971,1282.73999,1271.579956,714600000,1282.72998,,,7.270019,-3.890015,,7.260009,,0.26409418,0.077192812,-0.037242843,0.041717332,0.568865077
1282.72998,1293.73999,1275.109985,803700000,1279.839966,,,11.01001,-7.619995,,-2.890014,,0.267310145,0.116903907,-0.072953518,0.049666124,0.516973344
1279.839966,1287.02002,1275.160034,841900000,1286.839966,,,7.180054,-4.679932,,7,,0.266029956,0.076237566,-0.044805476,0.053074024,0.567535787
1286.839966,1306.430054,1286.839966,904800000,1297.680054,,,19.590088,0,,10.840088,,0.269130745,0.20800688,0,0.058685461,0.587168139
1297.680054,1304.420044,1289.170044,825800000,1294.589966,,,6.73999,-8.51001,,-3.090088,,0.273932577,0.071564982,-0.081474485,0.05163771,0.51595047
1294.589966,1307.469971,1291.030029,727200000,1307.26001,,,12.880005,-3.559937,,12.670044,,0.272563762,0.13675945,-0.03408269,0.042841403,0.596523742
1307.26001,1311.109985,1302.290039,751900000,1306.380005,,,3.849975,-4.969971,,-0.880005,,0.278176209,0.040878902,-0.047582298,0.045044941,0.527249463
1306.380005,1306.550049,1292.630005,752300000,1297.819946,,,0.170044,-13.75,,-8.560059,,0.277786393,0.001805521,-0.131641934,0.045080625,0.487985383
1297.819946,1317.619995,1294.75,831000000,1316.550049,,,19.800049,-3.069946,,18.730103,,0.273994545,0.210236239,-0.029391537,0.052101613,0.627505639
1316.550049,1323.819946,1298.920044,914700000,1299.290039,,,7.269897,-17.630005,,-17.26001,,0.282291416,0.077191516,-0.168788942,0.05956866,0.443507106
1299.290039,1303.839966,1294.26001,658200000,1297.01001,,,4.549927,-5.030029,,-2.280029,,0.274645752,0.048310968,-0.048157291,0.036685773,0.520091876
1297.01001,1297.01001,1257.459961,811300000,1262.140015,,,0,-39.550049,,-34.869995,,0.273635768,0,-0.378650541,0.050344135,0.353476508
1262.140015,1269.02002,1256.430054,761900000,1268.589966,,,6.880005,-5.709961,,6.449951,,0.258189412,0.073051656,-0.054666932,0.045937061,0.564723676
1268.589966,1289.98999,1268.589966,784200000,1289.98999,,,21.400024,0,,21.400024,,0.261046545,0.227224719,0,0.047926489,0.641155542
1289.98999,1289.98999,1277.25,707200000,1282.800049,,,0,-12.73999,,-7.189941,,0.270526111,0,-0.12197214,0.041057163,0.494990077
1282.800049,1311.76001,1282.800049,747900000,1310.170044,,,28.959961,0,,27.369995,,0.267341184,0.30749587,0,0.044688092,0.671676866
1310.170044,1310.170044,1295.469971,729000000,1300.75,,,0,-14.700073,,-9.420044,,0.279465266,0,-0.140737894,0.043001985,0.483588732
1300.75,1313.599976,1285.869995,924300000,1286.369995,,,12.849976,-14.880005,,-14.380005,,0.275292471,0.136440603,-0.142460555,0.060425095,0.458231058
1286.369995,1294.540039,1282.560059,703000000,1293.719971,,,8.170044,-3.809936,,7.349976,,0.268922562,0.086749246,-0.03647617,0.040682472,0.569325031
1293.719971,1321.119995,1293.719971,695800000,1321.119995,,,27.400024,0,,27.400024,,0.27217838,0.290932512,0,0.040040145,0.671830389
1321.119995,1326.76001,1311.069946,787500000,1317.890015,,,5.640015,-10.050049,,-3.22998,,0.284315764,0.059885485,-0.096218755,0.048220889,0.515235276
1317.890015,1329.579956,1312.589966,816400000,1326.890015,,,11.689941,-5.300049,,9,,0.282884981,0.124123391,-0.050742451,0.050799117,0.577760736
1326.890015,1344.079956,1321.599976,850500000,1343.97998,,,17.189941,-5.290039,,17.089965,,0.286871709,0.182522202,-0.050646616,0.053841247,0.619120475
1343.97998,1351.219971,1335.23999,716100000,1348.349976,,,7.239991,-8.73999,,4.369996,,0.294442048,0.076873975,-0.083676304,0.04185115,0.554089959
1348.349976,1358.689941,1333.47998,810800000,1358.630005,,,10.339965,-14.869996,,10.280029,,0.296377825,0.109789393,-0.14236473,0.050299529,0.584304852
1358.640015,1362.380005,1344.030029,810900000,1349.819946,,,3.73999,-14.609986,,-8.820069,,0.300936002,0.039711085,-0.139875404,0.050308451,0.486656089
1349.819946,1357.23999,1326.410034,952000000,1328.439941,,,7.420044,-23.409912,,-21.380005,,0.297028977,0.078785772,-0.224125534,0.062896269,0.422443737
1328.439941,1332.410034,1308.380005,1089800000,1322.849976,,,3.970093,-20.059936,,-5.589965,,0.28755828,0.042154311,-0.192053001,0.075189687,0.503169913
1322.859985,1325.030029,1311.400024,1002300000,1319,,,2.170044,-11.459961,,-3.859985,,0.285086528,0.023041453,-0.109717195,0.067383634,0.512014392
1319,1340.099976,1284.47998,1214400000,1289.47998,,,21.099976,-34.52002,,-29.52002,,0.283376671,0.224038819,-0.33049325,0.086305507,0.380828119
1289.47998,1306.300049,1284.209961,985400000,1306.170044,,,16.820069,-5.270019,,16.690064,,0.270300192,0.178594914,-0.050454945,0.065875951,0.617075992
1306.170044,1336.119995,1301.839966,920000000,1336.119995,,,29.949951,-4.330078,,29.949951,,0.277693387,0.318007549,-0.041455989,0.060041484,0.684866825
1336.119995,1358.839966,1336.119995,927900000,1358.819946,,,22.719971,0,,22.699951,,0.290960312,0.24123987,0,0.060746259,0.647801385
1358.829956,1363.650024,1348.449951,744900000,1356.849976,,,4.820068,-10.380005,,-1.97998,,0.30102014,0.051179316,-0.099377741,0.044420456,0.521625869
1356.849976,1363.560059,1353.719971,712000000,1360.040039,,,6.710083,-3.130005,,3.190063,,0.300143069,0.07124743,-0.029966539,0.04148538,0.548057582
1360.040039,1371.560059,1356.550049,891700000,1362.800049,,,11.52002,-3.48999,,2.76001,,0.30155617,0.122319176,-0.033413021,0.057516783,0.545858947
1362.800049,1368.619995,1348.290039,951700000,1350.910034,,,5.819946,-14.51001,,-11.890015,,0.302778772,0.061795986,-0.138918238,0.062869505,0.470961069
1350.910034,1356.75,1336.810059,1003600000,1342.829956,,,5.839966,-14.099975,,-8.080078,,0.297511853,0.062008558,-0.13499258,0.06749961,0.490439274
1342.829956,1351.829956,1314.579956,936500000,1335.180054,,,9,-28.25,,-7.649902,,0.293932623,0.09556169,-0.270464337,0.061513482,0.492638538
1335.180054,1354.630005,1329.01001,811400000,1354.630005,,,19.449951,-6.170044,,19.449951,,0.290543947,0.206518911,-0.059071747,0.050353057,0.631185844
1354.630005,1354.640015,1330.640015,933100000,1332,,,0.01001,-23.98999,,-22.630005,,0.299159688,0.000106286,-0.229679177,0.061210161,0.416053144
1332,1347.319946,1317.439941,913500000,1347.310059,,,15.319946,-14.560059,,15.310059,,0.289135279,0.16266666,-0.139397405,0.059461605,0.610020752
1347.310059,1348.359985,1322.560059,875400000,1332.050049,,,1.049926,-24.75,,-15.26001,,0.295917173,0.011148078,-0.236955481,0.056062627,0.453732055
1332.050049,1345.98999,1332.050049,814900000,1345,,,13.939941,0,,12.949951,,0.289157449,0.148013814,0,0.050665299,0.59795476
1345,1352.01001,1334,773300000,1340.300049,,,7.01001,-11,,-4.699951,,0.294893887,0.074432045,-0.105313547,0.046954078,0.507720087
1340.300049,1360,1340.300049,836100000,1355.609985,,,19.699951,0,,15.309936,,0.29281195,0.209173402,0,0.052556594,0.610020123
1355.609985,1367.359985,1333.099976,825500000,1364,,,11.75,-22.510009,,8.390015,,0.29959379,0.124761096,-0.215509899,0.051610946,0.574642203
1364,1375.97998,1364,796900000,1367.560059,,,11.97998,0,,3.560059,,0.303310314,0.127203016,0,0.049059482,0.549949177
1367.560059,1367.560059,1332.630005,727800000,1337.800049,,,0,-34.930054,,-29.76001,,0.304887312,0,-0.334418899,0.042894931,0.379601176
1337.800049,1339.949951,1321.189941,665500000,1339.48999,,,2.149902,-16.610108,,1.689941,,0.291704525,0.022827585,-0.15902449,0.037337021,0.540388246
1339.48999,1345.439941,1323.459961,753400000,1333.319946,,,5.949951,-16.030029,,-6.170044,,0.292453118,0.063176375,-0.153470838,0.045178759,0.500204274
1333.319946,1344.22998,1327.050049,801100000,1344.22998,,,10.910034,-6.269897,,10.910034,,0.289719975,0.115842366,-0.060027736,0.049434173,0.587525736
1344.22998,1350.48999,1338.829956,752200000,1338.829956,,,6.26001,-5.400024,,-5.400024,,0.294552791,0.066468571,-0.051699607,0.045071704,0.504140982
